Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
07:08:2026,00:15,C,mm,km/h,mm,14,14,14,0.00,0.00,579.0,---,21,54,85,0.0,4.8,SW,SW,---,---,---,---
07:08:2026,00:30,C,mm,km/h,mm,14,14,14,0.00,0.00,579.1,---,21,54,86,0.0,4.8,SW,SW,---,---,---,---
07:08:2026,00:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.9,---,21,54,86,0.0,4.8,WSW,WSW,---,---,---,---
07:08:2026,01:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.9,---,21,54,86,0.0,4.8,WSW,W,---,---,---,---
07:08:2026,01:15,C,mm,km/h,mm,14,14,14,0.00,0.00,578.7,---,21,54,86,0.0,4.8,WNW,W,---,---,---,---
07:08:2026,01:30,C,mm,km/h,mm,14,14,14,0.00,0.00,578.6,---,21,54,85,1.6,8.0,W,W,---,---,---,---
07:08:2026,01:45,C,mm,km/h,mm,14,14,14,0.00,0.00,578.7,---,21,54,86,0.0,6.4,W,W,---,---,---,---
07:08:2026,02:00,C,mm,km/h,mm,14,14,14,0.00,0.00,578.8,---,21,54,87,0.0,0.0,---,---,---,---,---,---
07:08:2026,02:15,C,mm,km/h,mm,14,14,13,0.00,0.00,578.6,---,21,54,87,0.0,0.0,---,---,---,---,---,---
07:08:2026,02:30,C,mm,km/h,mm,13,14,13,0.00,0.00,578.7,---,21,54,88,0.0,0.0,---,---,---,---,---,---
07:08:2026,02:45,C,mm,km/h,mm,13,13,13,0.00,0.00,578.8,---,21,54,89,0.0,0.0,---,---,---,---,---,---
07:08:2026,03:00,C,mm,km/h,mm,13,13,13,0.00,0.00,578.6,---,21,54,90,0.0,0.0,---,---,---,---,---,---
